State,Date_Adopted,year,uninsured_rate,population
Alabama,NA,2008,0.139716,4849377
Alaska,2015-09-01,2008,0.207716,737732
Arizona,2014-01-01,2008,0.187312,6731484
Arkansas,2014-01-01,2008,0.178883,2994079
California,2014-01-01,2008,0.178212,38802500
Colorado,2014-01-01,2008,0.170183,5355856
Connecticut,2014-01-01,2008,0.089074,3596677
Delaware,2014-01-01,2008,0.107586,935614
District of Columbia,2014-01-01,2008,0.080503,NA
Florida,NA,2008,0.209459,19893297
Georgia,NA,2008,0.190023,10097343
Hawaii,2014-01-01,2008,0.067185,1419561
Idaho,2020-01-01,2008,0.176187,1634464
Illinois,2014-01-01,2008,0.128774,12880580
Indiana,2015-02-01,2008,0.138373,6596855
Iowa,2014-01-01,2008,0.087262,3107126
Kansas,NA,2008,0.126462,2904021
Kentucky,2014-01-01,2008,0.140512,4413457
Louisiana,2016-07-01,2008,0.179265,4649676
Maine,NA,2008,0.107821,1330089
Maryland,2014-01-01,2008,0.111746,5976407
Massachusetts,2014-01-01,2008,0.041919,6745408
Michigan,2014-04-01,2008,0.115425,9909877
Minnesota,2014-01-01,2008,0.086485,5457173
Mississippi,NA,2008,0.18004,2984926
Missouri,NA,2008,0.130257,6063589
Montana,2016-01-01,2008,0.189435,1023579
Nebraska,2020-10-01,2008,0.108297,1881503
Nevada,2014-01-01,2008,0.217374,2839099
New Hampshire,2014-08-15,2008,0.110183,1326813
New Jersey,2014-01-01,2008,0.124378,8938175
New Mexico,2014-01-01,2008,0.215551,2085572
New York,2014-01-01,2008,0.11876,19746227
North Carolina,NA,2008,0.16175,9943964
North Dakota,2014-01-01,2008,0.099388,739482
Ohio,2014-01-01,2008,0.119234,11594163
Oklahoma,NA,2008,0.192449,3878051
Oregon,2014-01-01,2008,0.165046,3970239
Pennsylvania,2015-01-01,2008,0.095976,12787209
Rhode Island,2014-01-01,2008,0.089471,1055173
South Carolina,NA,2008,0.105366,4832482
South Dakota,NA,2008,0.170656,853175
Tennessee,NA,2008,0.114386,6549352
Texas,NA,2008,0.137957,26956958
Utah,2020-01-01,2008,0.240824,2942902
Vermont,2014-01-01,2008,0.150325,626011
Virginia,2019-01-01,2008,0.089494,8326289
Washington,2014-01-01,2008,0.119037,7061530
West Virginia,2014-01-01,2008,0.132168,1850326
Wisconsin,NA,2008,0.155724,5757564
Wyoming,NA,2008,0.08998,584153
Alabama,NA,2009,0.138865,4849377
Alaska,2015-09-01,2009,0.205191,737732
Arizona,2014-01-01,2009,0.174539,6731484
Arkansas,2014-01-01,2009,0.167173,2994079
California,2014-01-01,2009,0.181397,38802500
Colorado,2014-01-01,2009,0.157634,5355856
Connecticut,2014-01-01,2009,0.089089,3596677
Delaware,2014-01-01,2009,0.104086,935614
District of Columbia,2014-01-01,2009,0.071324,NA
Florida,NA,2009,0.208706,19893297
Georgia,NA,2009,0.191072,10097343
Hawaii,2014-01-01,2009,0.067758,1419561
Idaho,2020-01-01,2009,0.169449,1634464
Illinois,2014-01-01,2009,0.133592,12880580
Indiana,2015-02-01,2009,0.140483,6596855
Iowa,2014-01-01,2009,0.087584,3107126
Kansas,NA,2009,0.127639,2904021
Kentucky,2014-01-01,2009,0.144932,4413457
Louisiana,2016-07-01,2009,0.173049,4649676
Maine,NA,2009,0.102755,1330089
Maryland,2014-01-01,2009,0.111186,5976407
Massachusetts,2014-01-01,2009,0.043275,6745408
Michigan,2014-04-01,2009,0.123942,9909877
Minnesota,2014-01-01,2009,0.090059,5457173
Mississippi,NA,2009,0.176041,2984926
Missouri,NA,2009,0.133737,6063589
Montana,2016-01-01,2009,0.190202,1023579
Nebraska,2020-10-01,2009,0.115522,1881503
Nevada,2014-01-01,2009,0.219637,2839099
New Hampshire,2014-08-15,2009,0.105324,1326813
New Jersey,2014-01-01,2009,0.125721,8938175
New Mexico,2014-01-01,2009,0.202939,2085572
New York,2014-01-01,2009,0.115396,19746227
North Carolina,NA,2009,0.161114,9943964
North Dakota,2014-01-01,2009,0.099002,739482
Ohio,2014-01-01,2009,0.12276,11594163
Oklahoma,NA,2009,0.186663,3878051
Oregon,2014-01-01,2009,0.173984,3970239
Pennsylvania,2015-01-01,2009,0.098121,12787209
Rhode Island,2014-01-01,2009,0.08211,1055173
South Carolina,NA,2009,0.112824,4832482
South Dakota,NA,2009,0.167832,853175
Tennessee,NA,2009,0.137054,6549352
Texas,NA,2009,0.143355,26956958
Utah,2020-01-01,2009,0.239258,2942902
Vermont,2014-01-01,2009,0.143928,626011
Virginia,2019-01-01,2009,0.087406,8326289
Washington,2014-01-01,2009,0.11922,7061530
West Virginia,2014-01-01,2009,0.136116,1850326
Wisconsin,NA,2009,0.142009,5757564
Wyoming,NA,2009,0.091435,584153
Alabama,NA,2010,0.147653,4849377
Alaska,2015-09-01,2010,0.181253,737732
Arizona,2014-01-01,2010,0.169718,6731484
Arkansas,2014-01-01,2010,0.174948,2994079
California,2014-01-01,2010,0.185709,38802500
Colorado,2014-01-01,2010,0.157993,5355856
Connecticut,2014-01-01,2010,0.090611,3596677
Delaware,2014-01-01,2010,0.100087,935614
District of Columbia,2014-01-01,2010,0.077998,NA
Florida,NA,2010,0.213274,19893297
Georgia,NA,2010,0.197902,10097343
Hawaii,2014-01-01,2010,0.077137,1419561
Idaho,2020-01-01,2010,0.178658,1634464
Illinois,2014-01-01,2010,0.140225,12880580
Indiana,2015-02-01,2010,0.14984,6596855
Iowa,2014-01-01,2010,0.093472,3107126
Kansas,NA,2010,0.137155,2904021
Kentucky,2014-01-01,2010,0.15319,4413457
Louisiana,2016-07-01,2010,0.177919,4649676
Maine,NA,2010,0.10735,1330089
Maryland,2014-01-01,2010,0.113861,5976407
Massachusetts,2014-01-01,2010,0.043793,6745408
Michigan,2014-04-01,2010,0.124419,9909877
Minnesota,2014-01-01,2010,0.089519,5457173
Mississippi,NA,2010,0.181037,2984926
Missouri,NA,2010,0.13295,6063589
Montana,2016-01-01,2010,0.169049,1023579
Nebraska,2020-10-01,2010,0.118598,1881503
Nevada,2014-01-01,2010,0.225811,2839099
New Hampshire,2014-08-15,2010,0.112465,1326813
New Jersey,2014-01-01,2010,0.13285,8938175
New Mexico,2014-01-01,2010,0.20009,2085572
New York,2014-01-01,2010,0.119765,19746227
North Carolina,NA,2010,0.169812,9943964
North Dakota,2014-01-01,2010,0.100234,739482
Ohio,2014-01-01,2010,0.12348,11594163
Oklahoma,NA,2010,0.192385,3878051
Oregon,2014-01-01,2010,0.171578,3970239
Pennsylvania,2015-01-01,2010,0.102197,12787209
Rhode Island,2014-01-01,2010,0.121213,1055173
South Carolina,NA,2010,0.176669,4832482
South Dakota,NA,2010,0.11892900000000001,853175
Tennessee,NA,2010,0.144377,6549352
Texas,NA,2010,0.238532,26956958
Utah,2020-01-01,2010,0.154999,2942902
Vermont,2014-01-01,2010,0.078394,626011
Virginia,2019-01-01,2010,0.129085,8326289
Washington,2014-01-01,2010,0.142478,7061530
West Virginia,2014-01-01,2010,0.145906,1850326
Wisconsin,NA,2010,0.095866,5757564
Wyoming,NA,2010,0.147343,584153
Alabama,NA,2011,0.141378,4849377
Alaska,2015-09-01,2011,0.199525,737732
Arizona,2014-01-01,2011,0.171664,6731484
Arkansas,2014-01-01,2011,0.169707,2994079
California,2014-01-01,2011,0.181969,38802500
Colorado,2014-01-01,2011,0.152405,5355856
Connecticut,2014-01-01,2011,0.08596,3596677
Delaware,2014-01-01,2011,0.089022,935614
District of Columbia,2014-01-01,2011,0.076498,NA
Florida,NA,2011,0.208621,19893297
Georgia,NA,2011,0.196442,10097343
Hawaii,2014-01-01,2011,0.072448,1419561
Idaho,2020-01-01,2011,0.157176,1634464
Illinois,2014-01-01,2011,0.129396,12880580
Indiana,2015-02-01,2011,0.145831,6596855
Iowa,2014-01-01,2011,0.089969,3107126
Kansas,NA,2011,0.127345,2904021
Kentucky,2014-01-01,2011,0.145434,4413457
Louisiana,2016-07-01,2011,0.175711,4649676
Maine,NA,2011,0.111778,1330089
Maryland,2014-01-01,2011,0.102718,5976407
Massachusetts,2014-01-01,2011,0.041809,6745408
Michigan,2014-04-01,2011,0.118712,9909877
Minnesota,2014-01-01,2011,0.087047,5457173
Mississippi,NA,2011,0.176413,2984926
Missouri,NA,2011,0.136933,6063589
Montana,2016-01-01,2011,0.187533,1023579
Nebraska,2020-10-01,2011,0.119935,1881503
Nevada,2014-01-01,2011,0.219514,2839099
New Hampshire,2014-08-15,2011,0.100818,1326813
New Jersey,2014-01-01,2011,0.130033,8938175
New Mexico,2014-01-01,2011,0.199828,2085572
New York,2014-01-01,2011,0.115142,19746227
North Carolina,NA,2011,0.164225,9943964
North Dakota,2014-01-01,2011,0.099114,739482
Ohio,2014-01-01,2011,0.121363,11594163
Oklahoma,NA,2011,0.18657,3878051
Oregon,2014-01-01,2011,0.155979,3970239
Pennsylvania,2015-01-01,2011,0.101439,12787209
Rhode Island,2014-01-01,2011,0.11018,1055173
South Carolina,NA,2011,0.168897,4832482
South Dakota,NA,2011,0.11623,853175
Tennessee,NA,2011,0.148897,6549352
Texas,NA,2011,0.230658,26956958
Utah,2020-01-01,2011,0.150818,2942902
Vermont,2014-01-01,2011,0.072533,626011
Virginia,2019-01-01,2011,0.125147,8326289
Washington,2014-01-01,2011,0.141495,7061530
West Virginia,2014-01-01,2011,0.154303,1850326
Wisconsin,NA,2011,0.092231,5757564
Wyoming,NA,2011,0.154277,584153
Alabama,NA,2012,0.13294,4849377
Alaska,2015-09-01,2012,0.20317,737732
Arizona,2014-01-01,2012,0.17493,6731484
Arkansas,2014-01-01,2012,0.16419,2994079
California,2014-01-01,2012,0.17891,38802500
Colorado,2014-01-01,2012,0.14505,5355856
Connecticut,2014-01-01,2012,0.09309,3596677
Delaware,2014-01-01,2012,0.08477,935614
District of Columbia,2014-01-01,2012,0.05567,NA
Florida,NA,2012,0.19988,19893297
Georgia,NA,2012,0.18614,10097343
Hawaii,2014-01-01,2012,0.06616,1419561
Idaho,2020-01-01,2012,0.1605,1634464
Illinois,2014-01-01,2012,0.12989,12880580
Indiana,2015-02-01,2012,0.14497,6596855
Iowa,2014-01-01,2012,0.08424,3107126
Kansas,NA,2012,0.12702,2904021
Kentucky,2014-01-01,2012,0.13708,4413457
Louisiana,2016-07-01,2012,0.1669,4649676
Maine,NA,2012,0.10361,1330089
Maryland,2014-01-01,2012,0.10231,5976407
Massachusetts,2014-01-01,2012,0.03902,6745408
Michigan,2014-04-01,2012,0.11585,9909877
Minnesota,2014-01-01,2012,0.08322,5457173
Mississippi,NA,2012,0.17083,2984926
Missouri,NA,2012,0.1389,6063589
Montana,2016-01-01,2012,0.18322,1023579
Nebraska,2020-10-01,2012,0.11136,1881503
Nevada,2014-01-01,2012,0.2202,2839099
New Hampshire,2014-08-15,2012,0.11213,1326813
New Jersey,2014-01-01,2012,0.12771,8938175
New Mexico,2014-01-01,2012,0.18813,2085572
New York,2014-01-01,2012,0.10976,19746227
North Carolina,NA,2012,0.16516,9943964
North Dakota,2014-01-01,2012,0.10691,739482
Ohio,2014-01-01,2012,0.11629,11594163
Oklahoma,NA,2012,0.18405,3878051
Oregon,2014-01-01,2012,0.14564,3970239
Pennsylvania,2015-01-01,2012,0.09709,12787209
Rhode Island,2014-01-01,2012,0.11446,1055173
South Carolina,NA,2012,0.16674,4832482
South Dakota,NA,2012,0.10716,853175
Tennessee,NA,2012,0.13928,6549352
Texas,NA,2012,0.22481,26956958
Utah,2020-01-01,2012,0.14,2942902
Vermont,2014-01-01,2012,0.06647,626011
Virginia,2019-01-01,2012,0.12539,8326289
Washington,2014-01-01,2012,0.13793,7061530
West Virginia,2014-01-01,2012,0.14241,1850326
Wisconsin,NA,2012,0.0921,5757564
Wyoming,NA,2012,0.16069,584153
Alabama,NA,2013,0.13661,4849377
Alaska,2015-09-01,2013,0.18566,737732
Arizona,2014-01-01,2013,0.17373,6731484
Arkansas,2014-01-01,2013,0.16155,2994079
California,2014-01-01,2013,0.17169,38802500
Colorado,2014-01-01,2013,0.13935,5355856
Connecticut,2014-01-01,2013,0.09363,3596677
Delaware,2014-01-01,2013,0.10074,935614
District of Columbia,2014-01-01,2013,0.06347,NA
Florida,NA,2013,0.20121,19893297
Georgia,NA,2013,0.18839,10097343
Hawaii,2014-01-01,2013,0.07047,1419561
Idaho,2020-01-01,2013,0.16147,1634464
Illinois,2014-01-01,2013,0.12716,12880580
Indiana,2015-02-01,2013,0.14131,6596855
Iowa,2014-01-01,2013,0.0877,3107126
Kansas,NA,2013,0.12378,2904021
Kentucky,2014-01-01,2013,0.14486,4413457
Louisiana,2016-07-01,2013,0.16822,4649676
Maine,NA,2013,0.11125,1330089
Maryland,2014-01-01,2013,0.10206,5976407
Massachusetts,2014-01-01,2013,0.03801,6745408
Michigan,2014-04-01,2013,0.11093,9909877
Minnesota,2014-01-01,2013,0.08321,5457173
Mississippi,NA,2013,0.17017,2984926
Missouri,NA,2013,0.13097,6063589
Montana,2016-01-01,2013,0.16721,1023579
Nebraska,2020-10-01,2013,0.10772,1881503
Nevada,2014-01-01,2013,0.20553,2839099
New Hampshire,2014-08-15,2013,0.10918,1326813
New Jersey,2014-01-01,2013,0.134,8938175
New Mexico,2014-01-01,2013,0.19249,2085572
New York,2014-01-01,2013,0.10854,19746227
North Carolina,NA,2013,0.15665,9943964
North Dakota,2014-01-01,2013,0.1036,739482
Ohio,2014-01-01,2013,0.11026,11594163
Oklahoma,NA,2013,0.17762,3878051
Oregon,2014-01-01,2013,0.1485,3970239
Pennsylvania,2015-01-01,2013,0.09681,12787209
Rhode Island,2014-01-01,2013,0.11973,1055173
South Carolina,NA,2013,0.15798,4832482
South Dakota,NA,2013,0.12483,853175
Tennessee,NA,2013,0.13981,6549352
Texas,NA,2013,0.22039,26956958
Utah,2020-01-01,2013,0.13396,2942902
Vermont,2014-01-01,2013,0.07027,626011
Virginia,2019-01-01,2013,0.12384,8326289
Washington,2014-01-01,2013,0.14103,7061530
West Virginia,2014-01-01,2013,0.13504,1850326
Wisconsin,NA,2013,0.09012,5757564
Wyoming,NA,2013,0.12796,584153
Alabama,NA,2014,0.11982,4849377
Alaska,2015-09-01,2014,0.17501,737732
Arizona,2014-01-01,2014,0.1368,6731484
Arkansas,2014-01-01,2014,0.11779,2994079
California,2014-01-01,2014,0.12489,38802500
Colorado,2014-01-01,2014,0.10573,5355856
Connecticut,2014-01-01,2014,0.07036,3596677
Delaware,2014-01-01,2014,0.07415,935614
District of Columbia,2014-01-01,2014,0.05536,NA
Florida,NA,2014,0.16572,19893297
Georgia,NA,2014,0.15807,10097343
Hawaii,2014-01-01,2014,0.04922,1419561
Idaho,2020-01-01,2014,0.13437,1634464
Illinois,2014-01-01,2014,0.09862,12880580
Indiana,2015-02-01,2014,0.12045,6596855
Iowa,2014-01-01,2014,0.05747,3107126
Kansas,NA,2014,0.10649,2904021
Kentucky,2014-01-01,2014,0.08755,4413457
Louisiana,2016-07-01,2014,0.14522,4649676
Maine,NA,2014,0.09834,1330089
Maryland,2014-01-01,2014,0.07893,5976407
Massachusetts,2014-01-01,2014,0.03401,6745408
Michigan,2014-04-01,2014,0.0843,9909877
Minnesota,2014-01-01,2014,0.05959,5457173
