State,Date_Adopted,year,uninsured_rate,population
Mississippi,NA,2014,0.14465,2984926
Missouri,NA,2014,0.11585,6063589
Montana,2016-01-01,2014,0.13709,1023579
Nebraska,2020-10-01,2014,0.09349,1881503
Nevada,2014-01-01,2014,0.15348,2839099
New Hampshire,2014-08-15,2014,0.09377,1326813
New Jersey,2014-01-01,2014,0.10986,8938175
New Mexico,2014-01-01,2014,0.14829,2085572
New York,2014-01-01,2014,0.08641,19746227
North Carolina,NA,2014,0.13207,9943964
North Dakota,2014-01-01,2014,0.0812,739482
Ohio,2014-01-01,2014,0.08417,11594163
Oklahoma,NA,2014,0.15231,3878051
Oregon,2014-01-01,2014,0.09816,3970239
Pennsylvania,2015-01-01,2014,0.08631,12787209
Rhode Island,2014-01-01,2014,0.07095,1055173
South Carolina,NA,2014,0.13596,4832482
South Dakota,NA,2014,0.09968,853175
Tennessee,NA,2014,0.11912,6549352
Texas,NA,2014,0.19076,26956958
Utah,2020-01-01,2014,0.12376,2942902
Vermont,2014-01-01,2014,0.04651,626011
Virginia,2019-01-01,2014,0.10879,8326289
Washington,2014-01-01,2014,0.09191,7061530
West Virginia,2014-01-01,2014,0.08893,1850326
Wisconsin,NA,2014,0.07445,5757564
Wyoming,NA,2014,0.12421,584153
Alabama,NA,2015,0.10154,4849377
Alaska,2015-09-01,2015,0.14525,737732
Arizona,2014-01-01,2015,0.11069,6731484
Arkansas,2014-01-01,2015,0.09421,2994079
California,2014-01-01,2015,0.08548,38802500
Colorado,2014-01-01,2015,0.08091,5355856
Connecticut,2014-01-01,2015,0.06064,3596677
Delaware,2014-01-01,2015,0.0561,935614
District of Columbia,2014-01-01,2015,0.03717,NA
Florida,NA,2015,0.13393,19893297
Georgia,NA,2015,0.13883,10097343
Hawaii,2014-01-01,2015,0.03825,1419561
Idaho,2020-01-01,2015,0.11265,1634464
Illinois,2014-01-01,2015,0.07087,12880580
Indiana,2015-02-01,2015,0.09871,6596855
Iowa,2014-01-01,2015,0.0486,3107126
Kansas,NA,2015,0.09274,2904021
Kentucky,2014-01-01,2015,0.06097,4413457
Louisiana,2016-07-01,2015,0.1207,4649676
Maine,NA,2015,0.08559,1330089
Maryland,2014-01-01,2015,0.06676,5976407
Massachusetts,2014-01-01,2015,0.02822,6745408
Michigan,2014-04-01,2015,0.06029,9909877
Minnesota,2014-01-01,2015,0.04485,5457173
Mississippi,NA,2015,0.12505,2984926
Missouri,NA,2015,0.09751,6063589
Montana,2016-01-01,2015,0.11562,1023579
Nebraska,2020-10-01,2015,0.07833,1881503
Nevada,2014-01-01,2015,0.12305,2839099
New Hampshire,2014-08-15,2015,0.06931,1326813
New Jersey,2014-01-01,2015,0.08812,8938175
New Mexico,2014-01-01,2015,0.10919,2085572
New York,2014-01-01,2015,0.07101,19746227
North Carolina,NA,2015,0.11317,9943964
North Dakota,2014-01-01,2015,0.08265,739482
Ohio,2014-01-01,2015,0.06494,11594163
Oklahoma,NA,2015,0.14198,3878051
Oregon,2014-01-01,2015,0.0703,3970239
Pennsylvania,2015-01-01,2015,0.06302,12787209
Rhode Island,2014-01-01,2015,0.05173,1055173
South Carolina,NA,2015,0.10845,4832482
South Dakota,NA,2015,0.11204,853175
Tennessee,NA,2015,0.1027,6549352
Texas,NA,2015,0.1703,26956958
Utah,2020-01-01,2015,0.10671,2942902
Vermont,2014-01-01,2015,0.03946,626011
Virginia,2019-01-01,2015,0.09328,8326289
Washington,2014-01-01,2015,0.06543,7061530
West Virginia,2014-01-01,2015,0.0548,1850326
Wisconsin,NA,2015,0.0577,5757564
Wyoming,NA,2015,0.10415,584153
Alabama,NA,2016,0.0920043,4849377
Alaska,2015-09-01,2016,0.1447894,737732
Arizona,2014-01-01,2016,0.099802,6731484
Arkansas,2014-01-01,2016,0.0801888,2994079
California,2014-01-01,2016,0.073904,38802500
Colorado,2014-01-01,2016,0.0766353,5355856
Connecticut,2014-01-01,2016,0.0490456,3596677
Delaware,2014-01-01,2016,0.057853,935614
District of Columbia,2014-01-01,2016,0.0402778,NA
Florida,NA,2016,0.12529970000000001,19893297
Georgia,NA,2016,0.1292216,10097343
Hawaii,2014-01-01,2016,0.0347378,1419561
Idaho,2020-01-01,2016,0.103096,1634464
Illinois,2014-01-01,2016,0.0651885,12880580
Indiana,2015-02-01,2016,0.0806901,6596855
Iowa,2014-01-01,2016,0.0403983,3107126
Kansas,NA,2016,0.0840273,2904021
Kentucky,2014-01-01,2016,0.0515046,4413457
Louisiana,2016-07-01,2016,0.101788,4649676
Maine,NA,2016,0.0788593,1330089
Maryland,2014-01-01,2016,0.0610785,5976407
Massachusetts,2014-01-01,2016,0.0249471,6745408
Michigan,2014-04-01,2016,0.0532935,9909877
Minnesota,2014-01-01,2016,0.0421716,5457173
Mississippi,NA,2016,0.1175168,2984926
Missouri,NA,2016,0.0897086,6063589
Montana,2016-01-01,2016,0.0836152,1023579
Nebraska,2020-10-01,2016,0.0887605,1881503
Nevada,2014-01-01,2016,0.1110733,2839099
New Hampshire,2014-08-15,2016,0.0635563,1326813
New Jersey,2014-01-01,2016,0.0771335,8938175
New Mexico,2014-01-01,2016,0.0901526,2085572
New York,2014-01-01,2016,0.0608966,19746227
North Carolina,NA,2016,0.1047501,9943964
North Dakota,2014-01-01,2016,0.0784927,739482
Ohio,2014-01-01,2016,0.0558052,11594163
Oklahoma,NA,2016,0.1379237,3878051
Oregon,2014-01-01,2016,0.062017,3970239
Pennsylvania,2015-01-01,2016,0.0584513,12787209
Rhode Island,2014-01-01,2016,0.0422848,1055173
South Carolina,NA,2016,0.0991061,4832482
South Dakota,NA,2016,0.0827412,853175
Tennessee,NA,2016,0.0914856,6549352
Texas,NA,2016,0.1663885,26956958
Utah,2020-01-01,2016,0.0850772,2942902
Vermont,2014-01-01,2016,0.0359445,626011
Virginia,2019-01-01,2016,0.0884005,8326289
Washington,2014-01-01,2016,0.0594811,7061530
West Virginia,2014-01-01,2016,0.0492466,1850326
Wisconsin,NA,2016,0.0520363,5757564
Wyoming,NA,2016,0.1097628,584153
Alabama,NA,2017,0.095448,4849377
Alaska,2015-09-01,2017,0.138954,737732
Arizona,2014-01-01,2017,0.100337,6731484
Arkansas,2014-01-01,2017,0.080113,2994079
California,2014-01-01,2017,0.072315,38802500
Colorado,2014-01-01,2017,0.075036,5355856
Connecticut,2014-01-01,2017,0.056497,3596677
Delaware,2014-01-01,2017,0.055836,935614
District of Columbia,2014-01-01,2017,0.036361,NA
Florida,NA,2017,0.129236,19893297
Georgia,NA,2017,0.133793,10097343
Hawaii,2014-01-01,2017,0.037858,1419561
Idaho,2020-01-01,2017,0.107321,1634464
Illinois,2014-01-01,2017,0.068532,12880580
Indiana,2015-02-01,2017,0.084205,6596855
Iowa,2014-01-01,2017,0.043726,3107126
Kansas,NA,2017,0.085169,2904021
Kentucky,2014-01-01,2017,0.054527,4413457
Louisiana,2016-07-01,2017,0.083005,4649676
Maine,NA,2017,0.078332,1330089
Maryland,2014-01-01,2017,0.061491,5976407
Massachusetts,2014-01-01,2017,0.027553,6745408
Michigan,2014-04-01,2017,0.051306,9909877
Minnesota,2014-01-01,2017,0.044679,5457173
Mississippi,NA,2017,0.120807,2984926
Missouri,NA,2017,0.090597,6063589
Montana,2016-01-01,2017,0.091037,1023579
Nebraska,2020-10-01,2017,0.086345,1881503
Nevada,2014-01-01,2017,0.110599,2839099
New Hampshire,2014-08-15,2017,0.056596,1326813
New Jersey,2014-01-01,2017,0.076263,8938175
New Mexico,2014-01-01,2017,0.091317,2085572
New York,2014-01-01,2017,0.057395,19746227
North Carolina,NA,2017,0.107406,9943964
North Dakota,2014-01-01,2017,0.075018,739482
Ohio,2014-01-01,2017,0.058403,11594163
Oklahoma,NA,2017,0.139841,3878051
Oregon,2014-01-01,2017,0.06763,3970239
Pennsylvania,2015-01-01,2017,0.055324,12787209
Rhode Island,2014-01-01,2017,0.044918,1055173
South Carolina,NA,2017,0.111338,4832482
South Dakota,NA,2017,0.092366,853175
Tennessee,NA,2017,0.094107,6549352
Texas,NA,2017,0.173991,26956958
Utah,2020-01-01,2017,0.090229,2942902
Vermont,2014-01-01,2017,0.041781,626011
Virginia,2019-01-01,2017,0.088388,8326289
Washington,2014-01-01,2017,0.060777,7061530
West Virginia,2014-01-01,2017,0.057554,1850326
Wisconsin,NA,2017,0.051336,5757564
Wyoming,NA,2017,0.122841,584153
Alabama,NA,2018,0.101714,4849377
Alaska,2015-09-01,2018,0.120369,737732
Arizona,2014-01-01,2018,0.106147,6731484
Arkansas,2014-01-01,2018,0.082839,2994079
California,2014-01-01,2018,0.071597,38802500
Colorado,2014-01-01,2018,0.076538,5355856
Connecticut,2014-01-01,2018,0.053396,3596677
Delaware,2014-01-01,2018,0.057541,935614
District of Columbia,2014-01-01,2018,0.031723,NA
Florida,NA,2018,0.131528,19893297
Georgia,NA,2018,0.137747,10097343
Hawaii,2014-01-01,2018,0.038517,1419561
Idaho,2020-01-01,2018,0.11149,1634464
Illinois,2014-01-01,2018,0.070565,12880580
Indiana,2015-02-01,2018,0.084664,6596855
Iowa,2014-01-01,2018,0.049429,3107126
Kansas,NA,2018,0.087204,2904021
Kentucky,2014-01-01,2018,0.055742,4413457
Louisiana,2016-07-01,2018,0.079368,4649676
Maine,NA,2018,0.078497,1330089
Maryland,2014-01-01,2018,0.059643,5976407
Massachusetts,2014-01-01,2018,0.02721,6745408
Michigan,2014-04-01,2018,0.053887,9909877
Minnesota,2014-01-01,2018,0.043484,5457173
Mississippi,NA,2018,0.122517,2984926
Missouri,NA,2018,0.09379,6063589
Montana,2016-01-01,2018,0.081167,1023579
Nebraska,2020-10-01,2018,0.084567,1881503
Nevada,2014-01-01,2018,0.113516,2839099
New Hampshire,2014-08-15,2018,0.052075,1326813
New Jersey,2014-01-01,2018,0.074196,8938175
New Mexico,2014-01-01,2018,0.093357,2085572
New York,2014-01-01,2018,0.052948,19746227
North Carolina,NA,2018,0.108529,9943964
North Dakota,2014-01-01,2018,0.077042,739482
Ohio,2014-01-01,2018,0.064757,11594163
Oklahoma,NA,2018,0.136629,3878051
Oregon,2014-01-01,2018,0.071976,3970239
Pennsylvania,2015-01-01,2018,0.055889,12787209
Rhode Island,2014-01-01,2018,0.040295,1055173
South Carolina,NA,2018,0.104895,4832482
South Dakota,NA,2018,0.093584,853175
Tennessee,NA,2018,0.101776,6549352
Texas,NA,2018,0.176901,26956958
Utah,2020-01-01,2018,0.089924,2942902
Vermont,2014-01-01,2018,0.040721,626011
Virginia,2019-01-01,2018,0.086833,8326289
Washington,2014-01-01,2018,0.065377,7061530
West Virginia,2014-01-01,2018,0.061747,1850326
Wisconsin,NA,2018,0.055387,5757564
Wyoming,NA,2018,0.105625,584153
Alabama,NA,2019,0.096585,4849377
Alaska,2015-09-01,2019,0.114761,737732
Arizona,2014-01-01,2019,0.111179,6731484
Arkansas,2014-01-01,2019,0.09095,2994079
California,2014-01-01,2019,0.077775,38802500
Colorado,2014-01-01,2019,0.07782,5355856
Connecticut,2014-01-01,2019,0.059209,3596677
Delaware,2014-01-01,2019,0.066494,935614
District of Columbia,2014-01-01,2019,0.036043,NA
Florida,NA,2019,0.131337,19893297
Georgia,NA,2019,0.133957,10097343
Hawaii,2014-01-01,2019,0.040601,1419561
Idaho,2020-01-01,2019,0.104843,1634464
Illinois,2014-01-01,2019,0.073279,12880580
Indiana,2015-02-01,2019,0.087552,6596855
Iowa,2014-01-01,2019,0.047198,3107126
Kansas,NA,2019,0.092249,2904021
Kentucky,2014-01-01,2019,0.063823,4413457
Louisiana,2016-07-01,2019,0.088966,4649676
Maine,NA,2019,0.080589,1330089
Maryland,2014-01-01,2019,0.059072,5976407
Massachusetts,2014-01-01,2019,0.030413,6745408
Michigan,2014-04-01,2019,0.05751,9909877
Minnesota,2014-01-01,2019,0.048057,5457173
Mississippi,NA,2019,0.129148,2984926
Missouri,NA,2019,0.101035,6063589
Montana,2016-01-01,2019,0.083325,1023579
Nebraska,2020-10-01,2019,0.079149,1881503
Nevada,2014-01-01,2019,0.115189,2839099
New Hampshire,2014-08-15,2019,0.064404,1326813
New Jersey,2014-01-01,2019,0.079353,8938175
New Mexico,2014-01-01,2019,0.098202,2085572
New York,2014-01-01,2019,0.052894,19746227
North Carolina,NA,2019,0.114332,9943964
North Dakota,2014-01-01,2019,0.073917,739482
Ohio,2014-01-01,2019,0.066954,11594163
Oklahoma,NA,2019,0.149204,3878051
Oregon,2014-01-01,2019,0.071092,3970239
Pennsylvania,2015-01-01,2019,0.057285,12787209
Rhode Island,2014-01-01,2019,0.042631,1055173
South Carolina,NA,2019,0.108194,4832482
South Dakota,NA,2019,0.095699,853175
Tennessee,NA,2019,0.101912,6549352
Texas,NA,2019,0.184084,26956958
Utah,2020-01-01,2019,0.096299,2942902
Vermont,2014-01-01,2019,0.044488,626011
Virginia,2019-01-01,2019,0.080012,8326289
Washington,2014-01-01,2019,0.065851,7061530
West Virginia,2014-01-01,2019,0.065863,1850326
Wisconsin,NA,2019,0.057597,5757564
Wyoming,NA,2019,0.122662,584153
Alabama,NA,2020,0.097,4849377
Alaska,2015-09-01,2020,0.122,737732
Arizona,2014-01-01,2020,0.113,6731484
Arkansas,2014-01-01,2020,0.091,2994079
California,2014-01-01,2020,0.077,38802500
Colorado,2014-01-01,2020,0.08,5355856
Connecticut,2014-01-01,2020,0.059,3596677
Delaware,2014-01-01,2020,0.066,935614
District of Columbia,2014-01-01,2020,0.035,NA
Florida,NA,2020,0.132,19893297
Georgia,NA,2020,0.134,10097343
Hawaii,2014-01-01,2020,0.042,1419561
Idaho,2020-01-01,2020,0.108,1634464
Illinois,2014-01-01,2020,0.074,12880580
Indiana,2015-02-01,2020,0.087,6596855
Iowa,2014-01-01,2020,0.05,3107126
Kansas,NA,2020,0.092,2904021
Kentucky,2014-01-01,2020,0.064,4413457
Louisiana,2016-07-01,2020,0.089,4649676
Maine,NA,2020,0.08,1330089
Maryland,2014-01-01,2020,0.06,5976407
Massachusetts,2014-01-01,2020,0.03,6745408
Michigan,2014-04-01,2020,0.058,9909877
Minnesota,2014-01-01,2020,0.049,5457173
Mississippi,NA,2020,0.13,2984926
Missouri,NA,2020,0.1,6063589
Montana,2016-01-01,2020,0.083,1023579
Nebraska,2020-10-01,2020,0.083,1881503
Nevada,2014-01-01,2020,0.114,2839099
New Hampshire,2014-08-15,2020,0.063,1326813
New Jersey,2014-01-01,2020,0.079,8938175
New Mexico,2014-01-01,2020,0.1,2085572
New York,2014-01-01,2020,0.052,19746227
North Carolina,NA,2020,0.113,9943964
North Dakota,2014-01-01,2020,0.069,739482
Ohio,2014-01-01,2020,0.066,11594163
Oklahoma,NA,2020,0.143,3878051
Oregon,2014-01-01,2020,0.072,3970239
Pennsylvania,2015-01-01,2020,0.058,12787209
Rhode Island,2014-01-01,2020,0.041,1055173
South Carolina,NA,2020,0.108,4832482
South Dakota,NA,2020,0.102,853175
Tennessee,NA,2020,0.101,6549352
Texas,NA,2020,0.184,26956958
Utah,2020-01-01,2020,0.097,2942902
Vermont,2014-01-01,2020,0.045,626011
Virginia,2019-01-01,2020,0.079,8326289
Washington,2014-01-01,2020,0.066,7061530
West Virginia,2014-01-01,2020,0.067,1850326
Wisconsin,NA,2020,0.057,5757564
Wyoming,NA,2020,0.123,584153
